stat	tf	sign	rank
4.05749803729374	NP_0011820571_LINE9884_Gm5294_I_N7	Distal	1
4.05749803729374	NP_0320502_LINE10009_Foxl1_I_N7	Distal	2
4.05749803729374	ENSMUSG00000040891_LINE3440_Foxa3_I_N7	Distal	3
4.05749803729374	ENSMUSG00000051490_LINE4278_Foxd4_I_N7	Distal	4
3.98853759587013	ENSMUSG00000000435_LINE101_Myf5_I_N1	Distal	5
3.79877843463733	ENSMUSG00000045680_LINE139_Tcf21_D_N1	Distal	6
3.56690817085562	ENSMUSG00000026934_LINE1234_Lhx3_D_N1	Distal	7
3.34793648635752	ENSMUSG00000015579_LINE1177_Nkx25_D_N1	Distal	8
3.23856480803644	ENSMUSG00000050397_LINE4127_Foxl2_I_N1	Distal	9
3.20593516463735	ENSMUSG00000048387_LINE564_Osr1_D	Distal	10
2.86667988495823	ENSMUSG00000015846_LINE1583_Rxra_D_N1	Distal	11
2.58768265532674	ENSMUSG00000022330_LINE339_Osr2_D	Distal	12
2.42975095775329	NP_0011820571_LINE9932_Gm5294_I_N10	Distal	13
2.42975095775329	NP_0320502_LINE10066_Foxl1_I_N10	Distal	14
2.42975095775329	ENSMUSG00000040891_LINE3497_Foxa3_I_N10	Distal	15
2.42975095775329	ENSMUSG00000051490_LINE4339_Foxd4_I_N8	Distal	16
2.37538884934732	ENSMUSG00000008575_LINE7346_Nfib_I_N4	Distal	17
2.37538884934732	ENSMUSG00000028565_LINE7371_Nfia_I_N4	Distal	18
2.24913983351404	ENSMUSG00000009248_LINE50_Ascl2_D_N2	Distal	19
2.24913983351404	ENSMUSG00000020052_LINE158_Ascl1_I_N2	Distal	20
2.22834164649563	ENSMUSG00000002393_LINE1575_Nr2f6_D_N1	Distal	21
2.22306241214654	ENSMUSG00000061911_LINE940_Myt1l_I	Distal	22
2.15476018577833	ENSMUSG00000035310_LINE968_Lin54_I	Distal	23
2.10858083747929	NP_0011820571_LINE9913_Gm5294_I_N7	Distal	24
2.10858083747929	NP_0320502_LINE10036_Foxl1_I_N8	Distal	25
2.10858083747929	ENSMUSG00000040891_LINE3467_Foxa3_I_N8	Distal	26
2.10858083747929	ENSMUSG00000051490_LINE4309_Foxd4_I_N8	Distal	27
2.0526511295153	ENSMUSG00000031688_LINE6320_Pou4f2_I_N1	Distal	28
2.0526511295153	ENSMUSG00000048349_LINE6330_Pou4f1_I_N1	Distal	29
2.03914825513037	ENSMUSG00000045680_LINE140_Tcf21_D_N1	Distal	30
1.96184477933421	ENSMUSG00000000247_LINE1140_Lhx2_D	Distal	31
1.96135811628576	ENSMUSG00000074368_LINE1428_AC1890281_D	Distal	32
1.96135811628576	Q8VHG7_MOUSE_LINE1463_Q8VHG7_MOUSE_I	Distal	33
1.92919937489788	ENSMUSG00000033713_LINE2797_Foxn3_I_N1	Distal	34
1.87785644709234	ENSMUSG00000050295_LINE1087_Foxc1_D_N1	Distal	35
1.83622740136798	ENSMUSG00000017950_LINE1591_Hnf4a_D_N1	Distal	36
1.83186600856753	NP_0011820571_LINE9849_Gm5294_I_N1	Distal	37
1.83186600856753	NP_0320502_LINE9970_Foxl1_I_N1	Distal	38
1.83186600856753	ENSMUSG00000040891_LINE3401_Foxa3_I_N1	Distal	39
1.83186600856753	ENSMUSG00000050397_LINE4089_Foxl2_I_N1	Distal	40
1.83186600856753	ENSMUSG00000051490_LINE4233_Foxd4_I_N1	Distal	41
1.80730249784208	ENSMUSG00000054310_LINE1388_Obox1_D	Distal	42
1.79521327546746	ENSMUSG00000022484_LINE1205_Hoxc10_D_N1	Distal	43
1.7880672104697	ENSMUSG00000025216_LINE1218_Lbx1_I	Distal	44
1.76280641440029	ENSMUSG00000008496_LINE1474_Pou2f2_D_N1	Distal	45
1.75032873704995	ENSMUSG00000043342_LINE1352_Hoxd9_D_N1	Distal	46
1.74968246497439	ENSMUSG00000017688_LINE1589_Hnf4g_I	Distal	47
1.7425357027747	ENSMUSG00000039656_LINE1629_Rxrb_D_N1	Distal	48
1.69787730351323	ENSMUSG00000054272_LINE629_Zscan4c_D	Distal	49
1.69787730351323	ENSMUSG00000070826_LINE795_Zscan4ps2_I	Distal	50
1.69787730351323	ENSMUSG00000070828_LINE796_Zscan4f_I	Distal	51
1.69267830645779	ENSMUSG00000001419_LINE6402_Mef2d_I_N1	Distal	52
1.69267830645779	ENSMUSG00000079033_LINE16118_Mef2b_I_N1	Distal	53
1.64595128782631	ENSMUSG00000058318_LINE32_Phf21a_D	Distal	54
1.64251398609472	ENSMUSG00000050397_LINE4137_Foxl2_I_N1	Distal	55
1.62154803542782	ENSMUSG00000037992_LINE1627_Rara_D_N1	Distal	56
1.6143897740089	ENSMUSG00000043013_LINE2143_Onecut1_I_N1	Distal	57
1.6143897740089	ENSMUSG00000045991_LINE2163_Onecut2_I_N1	Distal	58
1.60587182237027	ENSMUSG00000047861_LINE1083_Foxi1_I	Distal	59
1.60587182237027	ENSMUSG00000048377_LINE1084_Foxi2_I	Distal	60
1.60587182237027	ENSMUSG00000055874_LINE1093_Foxi3_I	Distal	61
1.60587182237027	NP_0011820571_LINE9852_Gm5294_I_N1	Distal	62
1.60587182237027	NP_0320502_LINE9973_Foxl1_I_N1	Distal	63
1.60587182237027	ENSMUSG00000040891_LINE3404_Foxa3_I_N1	Distal	64
1.60587182237027	ENSMUSG00000051490_LINE4236_Foxd4_I_N1	Distal	65
1.6050528815645	ENSMUSG00000001815_LINE1155_Evx2_D	Distal	66
1.58197722142204	ENSMUSG00000006200_LINE1164_Rhox6_D	Distal	67
1.58197722142204	ENSMUSG00000068048_LINE1412_Rhox9_I	Distal	68
1.57467410402508	ENSMUSG00000035923_LINE118_Myf6_D_N1	Distal	69
1.55668644649063	ENSMUSG00000029546_LINE1251_Uncx_D_N2	Distal	70
1.55668644649063	ENSMUSG00000028417_LINE220_Tal2_I_N1	Distal	71
1.55668644649063	ENSMUSG00000028717_LINE239_Tal1_I_N1	Distal	72
