trait	blood_enriched	B.Fem.Sp	B.Fo.Sp	B.FrE.BM	B.GC.CB.Sp	B.GC.CC.Sp	B.mem.Sp	B.MZ.Sp	B.PB.Sp	B.PC.BM	B.PC.Sp	B.Sp	B.T1.Sp	B.T2.Sp	B.T3.Sp	B1b.PC	BEC.SLN	DC.4..Sp	DC.8..Sp	DC.pDC.Sp	Ep.MEChi.Th	FRC.CD140a..Madcam..CD35..SLN	GN.BM	GN.Sp	GN.Thio.PC	IAP.SLN	ILC2.SI	ILC3.CCR6..SI	ILC3.NKp46.CCR6..SI	ILC3.NKp46..SI	LEC.SLN	LTHSC.34..BM	LTHSC.34..BM.1	MF.102.480..PC	MF.226.II.480lo.PC	MF.Alv.Lu	MF.Fem.PC	MF.microglia.CNS	MF.PC	MF.pIC.Alv.Lu	MF.RP.Sp	MMP3.48..BM	MMP4.135..BM	Mo.6C.II..Bl	Mo.6C.II..Bl.1	NK.27.11b..BM	NK.27.11b..Sp	NK.27.11b..BM.1	NK.27.11b..Sp.1	NK.27.11b..BM.2	NK.27.11b..Sp.2	NKT.Sp	NKT.Sp.LPS.18hr	NKT.Sp.LPS.3d	NKT.Sp.LPS.3hr	preT.DN1.Th	preT.DN2a.Th	preT.DN2b.Th	preT.DN3.Th	proB.CLP.BM	proB.FrA.BM	proB.FrBC.BM	STHSC.150..BM	T.4.Nve.Fem.Sp	T.4.Nve.Sp	T.4.Sp.aCD3.CD40.18hr	T.4.Th	T.8.Nve.Sp	T.8.Th	T.DN4.Th	T.DP.Th	T.ISP.Th	T8.IEL.LCMV.d7.Gut	T8.MP.LCMV.d7.Sp	T8.Tcm.LCMV.d180.Sp	T8.TE.LCMV.d7.Sp	T8.Tem.LCMV.d180.Sp	T8.TN.P14.Sp	Tgd.g1.1.d1.24a..Th	Tgd.g1.1.d1.LN	Tgd.g2.d1.24a..Th	Tgd.g2.d1.LN	Tgd.g2.d17.24a..Th	Tgd.g2.d17.LN	Tgd.Sp	Treg.4.25hi.Sp	Treg.4.FP3..Nrplo.Co
2_hour_glucose	FALSE	2.01709324020348	-2.25701693433312	-2.18972562509782	-0.649245683189865	-0.192267270078873	-2.27539402526098	1.05439673325599	0.635244303238801	2.21368803087844	1.60357119287927	-2.17795246157262	-1.44249001551416	-0.536819186844905	-0.126550184631067	2.31103167064244	0.317995150716304	-4.28633075267012	-2.27859655414923	0.622338425121444	-0.702636133119271	0.528136875077451	-0.652038157489927	-2.29241413184624	-3.06913600919823	-1.11620502921105	-0.0859182588508088	0.728133408687637	2.09424489043296	2.57624976409735	1.72821770730746	-1.65659376162624	-1.02281586786708	-1.81327754383629	-1.78338975241895	-1.81824541086748	-2.72693592621023	0.390619098244303	-1.17388229737453	-1.81722595899725	-0.378419644414138	-1.9029866475576	-3.79736500643398	-4.27922173369996	-2.25341839649676	2.42521889054564	2.92194005220636	2.43895570986098	2.59048144563627	1.86686166718742	1.71814178304813	4.21443610807909	1.66662423446051	2.40470243858743	1.66103936675119	-1.36760435395474	-0.448545459304971	0.550464895629928	1.3518346974031	-3.08071474351846	-4.44209482075096	-5.20441905984303	-3.01367721782211	1.77105093260065	5.21893437213125	1.60382383847253	4.24136529385136	2.65098343702829	2.72693275294579	0.690172163982538	4.97309327581548	-0.222640410696509	1.69512819274003	0.841564370812929	0.721697993499239	0.328631609836185	1.27429547110386	1.18258960187356	-0.814814400615369	0.414349592368462	0.875839769195476	0.117533014385557	-0.302326225899458	2.41560596251521	1.77980810079834	3.41613069317092	4.16062987146667
2_Hydroxyisobutyrate_concentration	FALSE	-0.407007146923309	7.28482104785555	10.0628718151632	4.81858381821341	0.929696526997626	7.64550716557408	0.0850979088918756	-1.0801653665636	-3.09272824806828	-1.71087508362085	3.60106325374641	6.96195971666141	5.85388051538373	8.0945082737397	1.48618603669083	-0.102073377720693	2.93026750338326	1.93598916632609	1.98218169849911	-1.03262187857664	-3.72061306809196	7.10430370513631	5.04340903391485	5.8958709558785	4.75473781367689	-2.0954815742744	-3.90351532234039	-4.65475522753795	-2.50552050016143	-4.78793431177303	-1.53782831548061	-0.41716488048617	4.60336727937658	2.58650107632786	0.408792626254408	4.34456740312317	5.46573902682031	4.74635177586838	1.85563004702238	6.19382314523761	1.1260508247763	-1.80351294340848	4.82791115159278	0.0997328227266998	-1.97506114246912	-2.98915834299596	-2.80038643908432	-3.90673037508461	-1.6265759820188	-0.253494131830477	-0.351417317499974	-0.180660689075037	2.33888252925348	-0.0265328114092893	-3.56265275980249	-6.49506274116965	-4.0276287914971	-4.40982033414693	0.833268028997835	3.05436292001092	4.45482236884912	4.07593250691625	0.57099520150913	-6.93550422484656	-1.34892959615892	-6.30994915953977	-6.32727833178989	-8.80402762723254	-3.27235759400774	-6.67180612180319	-4.78820918926778	3.16946432833818	1.58308937481592	-2.58523262995085	2.33682826794006	-1.53560772539771	-3.58551040286371	-3.96305117752394	-5.08469249097262	-3.56288578739083	-4.59258166223814	-4.72772507838766	-6.50522717074372	-4.12524896539094	-7.69425733218123	0.754569338269047
3_Aminoisobutyrate_concentration	FALSE	-0.69939233512281	-5.38879672460963	-3.3570715494295	-6.89588710565322	-5.52470914056098	-3.55217320192696	-1.39737387378686	-1.43962154495587	-1.84801201775803	-1.47414837176884	-4.81531929447236	-4.22308107081502	-3.98365440603526	-4.0547477630204	0.351610206533544	1.67983231982031	0.969208869226891	3.40502818302815	1.64579096896712	0.960121786076607	2.47372502799421	-6.03745666315486	-6.14611687804162	-4.94960140750723	0.260928142132999	0.898900756964057	3.58921022902288	4.07956625638815	3.58024282991763	3.58949742381162	2.13892836202559	-1.22018959328006	-1.25018576664307	1.83342179387253	-2.54640343495406	-2.0716046061124	0.328384523664695	-1.23963039078359	-2.97756568065535	0.67861643532514	-2.71510396639719	-1.24280275594468	-1.2256971576531	1.40701280361777	-0.251651588010518	0.617121386383137	0.257691633307994	1.03501732136444	-0.615915985364088	-0.202498322732678	3.52289616345281	1.93662584723505	2.24549374164611	3.47099917054114	0.216932178653569	0.489361385855632	3.06003465426119	5.41913996588592	-1.91325789386298	-3.88721616671065	-4.69690815255069	-3.42508662020779	4.93379919012684	4.10830331366551	-1.18236576787552	5.82506964084003	2.9091373810213	5.27220387958381	0.0542593170028252	5.77264051590146	1.31378443431737	-5.99295452714247	-4.01397190289902	2.36179933366543	-4.28863407091499	1.51031238704274	2.21594022691345	-1.29015622237009	3.30870915189888	0.16799730900776	3.3912855332665	2.89390737297254	2.83207344473133	3.6532542775114	10.1044595898371	2.03121910483868
Abnormal_Involuntary_Movement_Scale	FALSE	-3.74950233103535	-2.45863876710653	-2.54745415446835	-1.46446263222319	-1.00757753015562	-2.306883438634	-1.20746672870513	-3.27542598011119	-0.631834143063462	-1.30338360941639	-3.41128098233532	-2.3140947030901	-1.54150899433385	-1.28487144443984	-1.37542011397008	-2.84412647844159	-1.92740556502391	-1.4414669945452	0.184002783829807	-0.46928292995978	-0.0567553031127614	-1.49530295434264	-1.94728024702445	-2.9006631406364	-0.148579067682044	0.129200603447587	1.58820450467484	2.93777470117757	2.08363010355692	-1.54891623546076	0.144704140495681	1.04114480692516	-3.60855006976378	-1.55424661483091	-2.02812980867632	-3.67182288262582	-2.39780799616668	-2.73804042548076	-2.32786030563279	-1.42316716463325	1.47623911663974	-0.443180884058014	-3.34083337022487	-2.81236371554033	1.95456351625722	2.48171726022067	1.72459921478567	1.35718678813796	1.74029562492492	0.346446245504973	2.04823075674817	1.77770104220452	1.23944411862155	0.482416665881146	2.73636659575888	3.04234429500962	3.26034608437061	4.75025316564823	0.338652586776081	-0.795012406614863	-2.10035657363056	0.920407208994265	-0.0776363727514945	3.27818964168227	1.51646647338271	5.20260414191607	1.68553314671376	3.51393853680087	2.71586641118612	5.72311717752517	3.05355491256487	1.81323245355645	1.7415066555147	-0.798586977963797	2.52292597121682	0.151946091146518	1.41190589243081	0.441677331770631	0.132373312584902	0.670210876016878	0.433888859492381	1.78769999627602	0.478075915748943	1.18550606932891	2.26337629470987	2.06396626839491
Age_at_death_with_kuru_exposure	FALSE	0.952942768457917	-3.20225063101378	-2.01913462641949	-2.13533529284046	-1.03771271284903	-0.583490221092665	0.967981532834801	-0.467830958830644	-0.76942400844465	-2.12559321163208	-0.858718685064235	-1.13404123800627	-0.639078182496445	-0.480695787174458	-0.221035393723901	-1.05131189364373	-3.69784979148745	-2.22551933942435	-0.829940554969346	-0.779827360622427	0.115456252383993	-2.61976796528919	-3.42893797617512	-3.76144649934216	-2.5534328664325	1.90727226737166	0.750515863577007	1.64505471547032	1.96043929213692	0.451077514921139	-1.13151514709274	-0.542913108718803	-4.49368062744818	-2.61043677127478	-1.36641755850811	-6.09211131768503	-1.24895116207088	-5.3190997963763	-2.13190950517084	0.672102362549553	0.0800353886920075	-1.42429201881726	-3.36515528866251	-2.03792532294758	2.58834993902904	2.63198164284523	3.66628979508872	3.51208025451088	3.61236352525461	1.78883915336312	1.48003389363178	1.24810559189999	1.33928204110016	0.571312512233521	1.43508821355483	1.63652180559929	3.07581903975429	2.78959241661653	0.933863299216559	-0.468766905620009	-1.00783466965739	-2.66090753796416	1.10958449619832	3.13098514546633	2.0021979230638	3.99590371934029	2.36483187250965	5.23420339599994	2.07182605799869	6.43996449182448	3.29319719430954	0.765546364421428	1.66586583822364	-0.0867379743105953	1.59055917847786	-0.195320208808166	2.06058751274624	1.11457910683003	0.997449106023146	1.36607107346918	0.368305262456928	2.78899454347715	0.947850542459409	2.48360694422022	1.33094964383815	0.443000033423476
Age_at_menarche	FALSE	2.09358426397079	4.11817178763453	2.81570558740011	3.26858850395347	1.95825213757264	2.35978158255535	0.77696418048499	1.03109604151584	0.408651910111521	1.18153975213391	2.99124959516677	2.68163496387043	3.93286033861588	4.45634953211129	1.7397684444685	-2.00871902753545	1.1109310470734	1.46278861420279	-1.39914932000532	-0.514143029008533	-1.81097054535497	1.30449745969877	0.881418144653672	-0.0849810525448265	2.25228761299451	-0.839044959614232	-1.08823364881856	-1.55844559379117	0.824071471609403	-3.7954836271969	1.6227597056637	1.92524620993021	4.14415615476233	1.6663722848765	1.61302616015896	3.27127922779655	1.98597831659613	3.604793691121	2.19155481892012	4.0182149764875	0.679456002948313	1.11792622993091	1.2202413217403	-0.723285287695029	-0.438193304689682	-1.39537594661189	-0.71355299134385	-1.30269388870185	-0.617739290673161	-0.21948863740397	-2.67489841049052	-2.37156235526429	-2.43588240297139	-2.81433748665504	-1.91377938813454	-2.81694535091367	-2.04922493313819	-2.0090455946612	-0.111649699912213	-0.195913126539822	0.635989707700423	2.92162664853539	-2.16634739150505	-2.1473383586539	-1.4670583252913	-1.8879669815976	-1.44166721198753	-2.07568517124462	-1.41652373542368	-3.28765552771309	-2.53414518774376	0.867096858566618	-0.840565884024102	-0.910240641213265	0.0768453388919653	-1.38080654126005	-1.44354509549128	-2.44299608090487	-3.64267468608727	-2.75650370625876	-3.52563756506227	-3.60993540824605	-3.40258141514663	-2.83008114612088	-3.95567955222465	-0.0725844567138558
Alanine_N_N_dimethylglycine_ratio	FALSE	-0.81063968766147	1.68175378525738	1.67030480351672	5.49328365338922	6.79324354424719	1.54808496532803	-0.895806900815888	2.28278820325494	1.63368474857401	0.631348717649166	0.217405799402742	1.92831823154998	1.83696219571484	1.90927478688173	-3.1942427616931	-0.151097633559472	3.0421035455739	1.32102090708314	-3.34968700064234	-0.788186560065592	-3.31451544822305	5.76091018521419	6.51363426138135	5.69326232970588	1.88220572979385	-4.42744125670528	-2.91473131222463	-3.12717680657445	-2.13671807162097	-6.05949511746325	-3.31803292285781	-1.25506402590852	1.88954179289616	1.50963465295392	1.22567220926625	1.99381252159416	1.56429675419649	2.2498678817221	2.46817734567087	-0.796545160014302	0.644393806065942	-1.57340991228194	2.49651011096357	2.10050091405794	1.90561329697907	0.237233571724179	1.63888436621665	-0.450913438798696	1.77797942557187	2.23308169976374	-1.40918176648307	-2.86026335486892	-1.8324084979701	-4.26685198076794	-0.239213621837568	-2.61633131848128	-3.29675687988523	-2.95619908207656	-1.44926220601784	-1.00977880895245	1.23609298283759	1.4293209336933	-1.2103035022938	-3.80324699886778	-3.24924417260629	-3.06856974166237	-3.05006703708382	-3.04748054522801	2.50064587927065	0.624136868218225	4.08038705297504	5.63403283174941	7.4672330695104	-3.7156050926186	8.81598734313978	-4.54143461859067	-2.95226749857237	0.617157248875145	-5.39125420557351	-2.63313938865267	-3.44483249513192	-5.24095966510327	-2.66981906636906	-3.48320088088674	-5.5709164335069	-2.23413730004127
Alcohol_consumption	FALSE	-0.602840338937572	1.23276334345134	0.967725794168519	0.652487303241544	0.26943435673129	0.697851626049722	1.14376110905548	2.06224833436803	0.862265473591951	0.924892680570656	1.39565778236913	1.1416749160402	0.85141802868187	1.64245912752501	-0.1694522892539	-2.72673912178643	0.398589992761791	1.08744142151644	1.52866549109192	-0.204166395556042	-0.307171986655648	2.0414562259404	1.21960127285262	1.53939440171568	1.83888635914906	-1.04145516133307	-0.677568914438408	-0.809617921576329	-1.0576911933136	-1.99867505868887	-0.719572181663479	-0.840331736258072	2.88786963997949	3.19986147431955	0.992798573513934	2.19982414444557	1.61359694244715	2.49662659957929	1.42202240282801	1.05089114103239	-0.689167546319142	-0.634725578602713	-0.193352772914216	-0.502229487290241	-0.93241769638675	-0.967648872963296	-1.00505161862347	-1.06790499818543	-0.572323948559835	-0.747507726115126	1.27454768119933	1.13095044210155	2.70803639548848	1.11338384003462	-1.65877415301383	-2.23313630944352	-2.21812707575605	-2.85450628132205	-0.424037447804638	0.0353097088033329	-0.446554441682757	0.0207627053898612	-0.808708854799349	-1.88420260420665	-0.0611557082345066	-0.870698388161218	-1.6501666086441	-1.7509399304949	0.24047262355602	-1.27040168424823	-1.00916851850262	0.773487903530691	0.580576773436093	-0.899320847519541	1.06405208528368	-0.490779392229726	-0.977967644438095	-1.87558194991906	-1.80499492809941	-1.58071790682488	-1.90266760245788	-0.68486264410447	-1.05313920779051	-1.43430457797942	-2.02534402867613	0.999944361549668
Alcohol_dependence_early_age_of_onset	FALSE	1.04703612892808	0.759342623298828	-0.0926431668198275	-0.310594594749394	0.574697026521561	0.338521986539928	-0.347316961758596	-1.09754397848739	-0.742687848011434	0.651160003891956	-0.134226881121095	0.531519129924859	0.898943078598227	0.436861664253212	0.478871166200048	-0.570518871135028	-1.06972083275781	0.147666058488968	0.872450956908738	-1.53231068958	0.768347442400052	-2.1234238698701	-2.884459141133	-3.36349207416192	0.153304643678109	-0.0920069920201101	0.700598482049915	0.517243896698204	0.470502317596746	1.18339517076356	-2.20413539705036	0.198695573790585	-2.87572141755401	-3.65063330098243	-2.69328262520886	-2.93909914138387	-0.877065434856736	-2.38881798811523	-2.81356195558173	-1.75921629251554	-0.11365668227365	-0.854990970141875	-2.31025459540711	-2.3799036855744	0.827271209292563	1.02811259470533	0.435062397966051	0.550946403072957	0.715991749233545	0.451385163321943	1.28628787975173	1.5070473460666	1.34793019677121	0.164891442301224	0.964739549714642	0.880143427792952	1.03316711624855	0.6069901301667	-0.455912052872502	-0.0809237238618829	0.740101557031104	0.0102203552264186	3.10232170336406	1.6334289741127	2.36539179639378	3.57573795594268	1.08095414002199	2.88600608916676	0.511431258602925	1.20961605492896	1.07087468438754	0.103663725913566	-0.184154796156305	1.4801350888593	-0.842579852144516	0.551640860630433	2.71954624713589	1.29196795026163	0.852908104588747	1.48603011330953	1.66697376276239	2.40113941926019	2.45270530049729	2.91415518472099	1.86612295467681	1.55629893268042
Alcohol_dependence	FALSE	0.345530486001631	0.443264236924356	0.143795424504035	1.68785982318508	2.41058463835598	0.610587051194782	0.95026579014221	0.69115478144641	0.0836609546916412	1.27997125268444	0.782555071319611	0.890388949454173	1.22905679396947	0.87688814961882	-0.403258765901685	-3.46733064330788	-0.14922663541719	0.382594082328599	-0.822683201172821	-0.458625336414698	-0.764579112167959	2.41725089196006	2.52887650154374	1.90120987234442	1.76011684662567	-0.180456595182592	0.99973681975548	0.0827099867798659	0.597811813104082	-3.36972199569476	-1.02505250309444	1.84889725625443	0.289646298888349	-1.00154701158935	0.889147831533302	0.032615226682642	-0.0867220727029918	0.424370752352197	0.810293371994984	-0.223609796507426	2.37677155347537	0.582906752269274	0.986501949931946	1.33582272906062	-1.83294952260888	-1.36552399198129	-1.15037343676592	-1.11899368234564	-0.918031591291723	-2.07481738040013	-2.21400022319009	-1.70567174894334	-3.06824274382458	-2.08699286671885	1.07604110014499	-0.584358459057068	-0.665831494441773	-2.79906776222155	-0.73852717807606	-1.36567225995595	0.884087517938798	1.65021720123685	-0.829482133247531	-2.59477532089705	-0.118528586087954	0.0822082196263636	-2.77451729068392	-0.00936130741895479	0.291267497790111	1.42420872961107	0.761626235944855	1.41830457169634	2.75416169070942	-2.40359826970344	2.66893411307472	-2.71622579422701	-1.9214458887943	0.824295871065542	-1.72760248076062	0.851563651531154	-0.941690252725563	0.315396745956315	0.872287936518531	-0.92920917827785	-2.06492110335287	0.837927448520717
