sample	FDR05	FDR01	FDR001
B.Fem.Sp	0.590779958677686	0.591677096370463	0.587099125364432
B.Fo.Sp	0.588843471988459	0.586850856996674	0.586857693897231
B.FrE.BM	0.593407960199005	0.590321693703602	0.590361445783133
B.GC.CB.Sp	0.593052899936265	0.591959334565619	0.591771748821806
B.GC.CC.Sp	0.593715177178516	0.59223060744773	0.591128920823546
B.mem.Sp	0.59231217239371	0.590839303991812	0.589637915808066
B.MZ.Sp	0.58767105768001	0.586186883343006	0.592081485132249
B.PB.Sp	0.588038154163444	0.587911291491521	0.588235294117647
B.PC.BM	0.584720121028744	0.588046431217585	0.585288522511097
B.PC.Sp	0.591646332711353	0.58845016524613	0.583668903803132
B.Sp	0.589495850365416	0.588972431077694	0.589264354066986
B.T1.Sp	0.588819459941977	0.588714581053144	0.58754607688257
B.T2.Sp	0.590962579430454	0.59012439705509	0.590789291163823
B.T3.Sp	0.591093117408907	0.589538461538462	0.586160473882606
B1b.PC	0.587757817697937	0.589066339066339	0.589415734327828
BEC.SLN	0.594655581947743	0.593741918800103	0.593523584208192
DC.103+11b-.SI	0.593889565570443	0.593097384040448	0.592130987292278
DC.103+11b+.SI	0.590064036356125	0.5910178338408	0.590369935408103
DC.4+.Sp	0.58925044183387	0.588479211027681	0.590120798947494
DC.8+.Sp	0.591226954863319	0.590251865671642	0.590636560785815
DC.pDC.Sp	0.586009431843701	0.584992343032159	0.584672109560179
Ep.MEChi.Th	0.60041003612223	0.597859664607237	0.595299255073208
FRC.CD140a+.Madcam-.CD35-.SLN	0.59776598097766	0.597409006785935	0.597709696609161
GN.BM	0.593680637158898	0.596254048725532	0.599573040561147
GN.Sp	0.592315626611655	0.593732820230896	0.593740640910452
GN.Thio.PC	0.591672354948805	0.595845697329377	0.598317914213625
IAP.SLN	0.593491626033496	0.589651162790698	0.591266142990281
ILC2.SI	0.590308370044053	0.589914662529092	0.586263736263736
ILC3.CCR6+.SI	0.590263459335624	0.58879202988792	0.587517730496454
ILC3.NKp46-CCR6-.SI	0.589209147212959	0.589005235602094	0.586160514123449
ILC3.NKp46+.SI	0.588047503511684	0.586903914590747	0.583953413134908
LEC.SLN	0.587061894108874	0.58304836345872	0.573323507737657
LTHSC.34-.BM	0.599465061852223	0.595054095826893	0.597171794381808
LTHSC.34+.BM	0.603383103383103	0.600484261501211	0.598857003891051
MF.102+480+.PC	0.590873416302276	0.591648458363681	0.590638415731893
MF.226+II+480lo.PC	0.592752027229953	0.589735278227985	0.590452261306533
MF.Alv.Lu	0.592810660055779	0.59187240550579	0.590212614324742
MF.Fem.PC	0.590608393883527	0.5907025515554	0.589185667752443
MF.microglia.CNS	0.593046451980621	0.590684660961159	0.588944146901301
MF.PC	0.593360582195195	0.592021664409957	0.591511936339523
MF.pIC.Alv.Lu	0.593006562756358	0.590764853922749	0.589467524868344
MF.RP.Sp	0.593477059148701	0.590225563909774	0.591809599787262
MF.SI	0.592532302370536	0.591404746632457	0.592093339374717
MMP3.48+.BM	0.602059751345333	0.595622119815668	0.593455743879473
MMP4.135+.BM	0.601573426573427	0.598078915152086	0.595022147226324
Mo.6C-II-.Bl	0.587187213415433	0.586026200873362	0.583205325140809
Mo.6C+II-.Bl	0.586654059165203	0.586972290729726	0.583510261854211
NK.27-11b+.BM	0.584952024338872	0.585604823514634	0.584464137358073
NK.27-11b+.Sp	0.584823529411765	0.583407332233921	0.583672895883097
NK.27+11b-.BM	0.590958487285373	0.587633658763366	0.585450921773792
NK.27+11b-.Sp	0.587054072245905	0.58575858778626	0.583793501990497
NK.27+11b+.BM	0.587156946826758	0.586254453511091	0.584027437530622
NK.27+11b+.Sp	0.586509274873524	0.585949532045966	0.585227272727273
NKT.Sp	0.588076832981963	0.586018776960162	0.589657582110412
NKT.Sp.LPS.18hr	0.590495778306993	0.587770285980005	0.589214807224286
NKT.Sp.LPS.3d	0.58886894075404	0.58772874058127	0.58768320905117
NKT.Sp.LPS.3hr	0.586884859901107	0.583119548486403	0.583092902481246
preB.FrD.BM	0.595227425498544	0.591021213616182	0.589440825190011
preT.DN1.Th	0.596079902466473	0.590819807712189	0.588488873354305
preT.DN2a.Th	0.596346772667045	0.592833876221498	0.59053651266766
preT.DN2b.Th	0.594660668883239	0.594185408667032	0.589070622543426
preT.DN3.Th	0.593152699012812	0.59163462658744	0.586953561214762
proB.CLP.BM	0.597838561591431	0.596212200481323	0.594878451734718
proB.FrA.BM	0.597624350408315	0.593276801938219	0.591457229798264
proB.FrBC.BM	0.592474769635805	0.588637180870191	0.588745762711864
STHSC.150-.BM	0.602821638792862	0.601050929668553	0.594927791475872
T.4.Nve.Fem.Sp	0.588177339901478	0.58920730298128	0.589581002113639
T.4.Nve.Sp	0.58790332474543	0.587057220708447	0.585560243788092
T.4.Sp.aCD3+CD40.18hr	0.59103246118771	0.589522164651698	0.590119644924739
T.4.Th	0.591827093421519	0.588357588357588	0.585160708921598
T.8.Nve.Sp	0.589907759088443	0.587826086956522	0.586898901931087
T.8.Th	0.589926502377864	0.588599610047024	0.587884291088338
T.DN4.Th	0.599211434204041	0.596643147316656	0.591996095656418
T.DP.Th	0.59315256778708	0.587133796436122	0.587045285820342
T.ISP.Th	0.590527212955071	0.589161583203291	0.586661847099223
T8.IEL.LCMV.d7.Gut	0.588499550763702	0.586427843308577	0.587883057414583
T8.MP.LCMV.d7.Sp	0.590553856608902	0.587382779198636	0.587981711299804
T8.Tcm.LCMV.d180.Sp	0.585026862882504	0.586224170319349	0.584214235377026
T8.TE.LCMV.d7.Sp	0.591001353179973	0.58895486935867	0.587181164159581
T8.Tem.LCMV.d180.Sp	0.584519136408243	0.583992492291192	0.582876610872463
T8.TN.P14.Sp	0.589822914444207	0.588070096607504	0.58740157480315
Tgd.g1.1+d1.24a+.Th	0.590437317784257	0.590520263637638	0.588433653684033
Tgd.g1.1+d1.LN	0.587851662404092	0.585109447004608	0.581048247136411
Tgd.g2+d1.24a+.Th	0.591506075856143	0.587798485730926	0.589499647639183
Tgd.g2+d1.LN	0.586404066073698	0.58423645320197	0.584291187739464
Tgd.g2+d17.24a+.Th	0.587724311349869	0.588000498939753	0.590351003900043
Tgd.g2+d17.LN	0.586979058677172	0.583455702398434	0.579750346740638
Tgd.Sp	0.59	0.586796785304248	0.587120261109716
Treg.4.25hi.Sp	0.585796593186373	0.584167924269447	0.584036144578313
Treg.4.FP3+.Nrplo.Co	0.590641287106277	0.587513664520831	0.586280244615794
