Unexplained	Promoter	Distal	gene	rank
0	0	100	0610005C13Rik	1
0	0	100	0610007P14Rik	2
0	0	100	0610009B22Rik	3
0	0	100	0610009L18Rik	4
0	0	100	0610009O20Rik	5
0	0	100	0610010F05Rik	6
0	0	100	0610010K14Rik	7
0	0	100	0610012G03Rik	8
0	0	100	0610030E20Rik	9
0	0	100	0610037L13Rik	10
0	0	100	0610039H22Rik	11
0	0	100	0610040B10Rik	12
0	0	100	0610040J01Rik	13
0	0	100	1010001N08Rik	14
0	0	100	1110002L01Rik	15
0	0	100	1110004E09Rik	16
0	0	100	1110004F10Rik	17
0	0	100	1110006O24Rik	18
0	0	100	1110008F13Rik	19
0	0	100	1110008L16Rik	20
0	0	100	1110008P14Rik	21
0	0	100	1110012L19Rik	22
0	0	100	1110019D14Rik	23
0	0	100	1110020A21Rik	24
0	0	100	1110028F11Rik	25
0	0	100	1110032A03Rik	26
0	0	100	1110032F04Rik	27
0	0	100	1110034G24Rik	28
0	0	100	1110037F02Rik	29
0	0	100	1110038B12Rik	30
0	0	100	1110038F14Rik	31
0	0	100	1110046J04Rik	32
0	0	100	1110051M20Rik	33
0	0	100	1110059E24Rik	34
0	0	100	1110059G10Rik	35
0	0	100	1110065P20Rik	36
0	0	100	1190002N15Rik	37
0	0	100	1190007I07Rik	38
0	0	100	1300002E11Rik	39
0	0	100	1300017J02Rik	40
0	0	100	1500004A13Rik	41
0	0	100	1500009L16Rik	42
0	0	100	1500011B03Rik	43
0	0	100	1500011K16Rik	44
0	0	100	1500015A07Rik	45
0	0	100	1500015O10Rik	46
0	0	100	1500026H17Rik	47
0	0	100	1600002H07Rik	48
0	0	100	1600002K03Rik	49
0	0	100	1600010M07Rik	50
0	0	100	1600012H06Rik	51
0	0	100	1600014C10Rik	52
0	0	100	1600020E01Rik	53
0	0	100	1600023N17Rik	54
0	0	100	1600029I14Rik	55
0	0	100	1600029O15Rik	56
0	0	100	1700001C19Rik	57
0	0	100	1700001G11Rik	58
0	0	100	1700001G17Rik	59
0	0	100	1700001J11Rik	60
0	0	100	1700001L05Rik	61
0	0	100	1700001O22Rik	62
0	0	100	1700003E16Rik	63
0	0	100	1700007L15Rik	64
0	0	100	1700008J07Rik	65
0	0	100	1700008O03Rik	66
0	0	100	1700010I14Rik	67
0	0	100	1700012B07Rik	68
0	0	100	1700012D01Rik	69
0	0	100	1700012D16Rik	70
0	0	100	1700017B05Rik	71
0	0	100	1700019D03Rik	72
0	0	100	1700020I14Rik	73
0	0	100	1700020L24Rik	74
0	0	100	1700021F05Rik	75
0	0	100	1700022A21Rik	76
0	0	100	1700024P16Rik	77
0	0	100	1700025G04Rik	78
0	0	100	1700027F09Rik	79
0	0	100	1700027J07Rik	80
0	0	100	1700028E10Rik	81
0	0	100	1700028I16Rik	82
0	0	100	1700028J19Rik	83
0	0	100	1700028K03Rik	84
0	0	100	1700029J07Rik	85
0	0	100	1700029M20Rik	86
0	0	100	1700030C10Rik	87
0	0	100	1700030J22Rik	88
0	0	100	1700030K09Rik	89
0	0	100	1700034J05Rik	90
0	0	100	1700037C18Rik	91
0	0	100	1700037H04Rik	92
0	0	100	1700040L02Rik	93
0	0	100	1700042O10Rik	94
0	0	100	1700047M11Rik	95
0	0	100	1700048O20Rik	96
0	0	100	1700052K11Rik	97
0	0	100	1700056E22Rik	98
0	0	100	1700061F12Rik	99
0	0	100	1700061G19Rik	100
0	0	100	1700066B19Rik	101
0	0	100	1700066M21Rik	102
0	0	100	1700071M16Rik	103
0	0	100	1700084E18Rik	104
0	0	100	1700086O06Rik	105
0	0	100	1700094D03Rik	106
0	0	100	1700095J12Rik	107
0	0	100	1700096K18Rik	108
0	0	100	1700097N02Rik	109
0	0	100	1700102P08Rik	110
0	0	100	1700112E06Rik	111
0	0	100	1700113A16Rik	112
0	0	100	1700113H08Rik	113
0	0	100	1700122C19Rik	114
0	0	100	1700123M08Rik	115
0	0	100	1700123O20Rik	116
0	0	100	1810006J02Rik	117
0	0	100	1810010H24Rik	118
0	0	100	1810011H11Rik	119
0	0	100	1810011O10Rik	120
0	0	100	1810013L24Rik	121
0	0	100	1810014B01Rik	122
0	0	100	1810022K09Rik	123
0	0	100	1810026B05Rik	124
0	0	100	1810026J23Rik	125
0	0	100	1810030O07Rik	126
0	0	100	1810032O08Rik	127
0	0	100	1810034E14Rik	128
0	0	100	1810037I17Rik	129
0	0	100	1810041H14Rik	130
0	0	100	1810041L15Rik	131
0	0	100	1810043G02Rik	132
0	0	100	1810044D09Rik	133
0	0	100	1810046K07Rik	134
0	0	100	1810055G02Rik	135
0	0	100	1810058I24Rik	136
0	0	100	1810062G17Rik	137
0	0	100	1810062O18Rik	138
0	0	100	1810065E05Rik	139
0	0	100	2010001A14Rik	140
0	0	100	2010016I18Rik	141
0	0	100	2010106E10Rik	142
0	0	100	2010107E04Rik	143
0	0	100	2010107G23Rik	144
0	0	100	2010109A12Rik	145
0	0	100	2010109I03Rik	146
0	0	100	2010111I01Rik	147
0	0	100	2010204K13Rik	148
0	0	100	2010300C02Rik	149
0	0	100	2010315B03Rik	150
0	0	100	2010320M18Rik	151
0	0	100	2200002D01Rik	152
0	0	100	2210011C24Rik	153
0	0	100	2210013O21Rik	154
0	0	100	2210016F16Rik	155
0	0	100	2210016L21Rik	156
0	0	100	2210407C18Rik	157
0	0	100	2210408F21Rik	158
0	0	100	2210408I21Rik	159
0	0	100	2210414B05Rik	160
0	0	100	2300009A05Rik	161
0	0	100	2310001H17Rik	162
0	0	100	2310009A05Rik	163
0	0	100	2310009B15Rik	164
0	0	100	2310010J17Rik	165
0	0	100	2310011J03Rik	166
0	0	100	2310015A10Rik	167
0	0	100	2310015D24Rik	168
0	0	100	2310022A10Rik	169
0	0	100	2310022B05Rik	170
0	0	100	2310030G06Rik	171
0	0	100	2310033P09Rik	172
0	0	100	2310034G01Rik	173
0	0	100	2310035C23Rik	174
0	0	100	2310036O22Rik	175
0	0	100	2310039H08Rik	176
0	0	100	2310040G24Rik	177
0	0	100	2310057M21Rik	178
0	0	100	2310061I04Rik	179
0	0	100	2310075C17Rik	180
0	0	100	2410002F23Rik	181
0	0	100	2410004B18Rik	182
0	0	100	2410004P03Rik	183
0	0	100	2410006H16Rik	184
0	0	100	2410015M20Rik	185
0	0	100	2410016O06Rik	186
0	0	100	2410018L13Rik	187
0	0	100	2410089E03Rik	188
0	0	100	2410131K14Rik	189
0	0	100	2500002B13Rik	190
0	0	100	2500004C02Rik	191
0	0	100	2510002D24Rik	192
0	0	100	2510009E07Rik	193
0	0	100	2510039O18Rik	194
0	0	100	2610001J05Rik	195
0	0	100	2610002M06Rik	196
0	0	100	2610005L07Rik	197
0	0	100	2610008E11Rik	198
0	0	100	2610020C07Rik	199
0	0	100	2610020H08Rik	200
0	0	100	2610027K06Rik	201
0	0	100	2610035D17Rik	202
0	0	100	2610037D02Rik	203
0	0	100	2610042L04Rik	204
0	0	100	2610044O15Rik8	205
0	0	100	2610203C22Rik	206
0	0	100	2610206C17Rik	207
0	0	100	2610301B20Rik	208
0	0	100	2610306M01Rik	209
0	0	100	2610307P16Rik	210
0	0	100	2610318N02Rik	211
0	0	100	2610507B11Rik	212
0	0	100	2610507I01Rik	213
0	0	100	2610524H06Rik	214
0	0	100	2610528A11Rik	215
0	0	100	2700038G22Rik	216
0	0	100	2700046G09Rik	217
0	0	100	2700049A03Rik	218
0	0	100	2700054A10Rik	219
0	0	100	2700060E02Rik	220
0	0	100	2700062C07Rik	221
0	0	100	2700081O15Rik	222
0	0	100	2700094K13Rik	223
