Unexplained	Tissue	Phylogeny	genes	rank
0	0	100	0610010F05Rik	1
0	0	100	1700027J07Rik	2
0	0	100	1700029M20Rik	3
0	0	100	1700108F19Rik	4
0	0	100	1810030O07Rik	5
0	0	100	1810058I24Rik	6
0	0	100	2810025M15Rik	7
0	0	100	3110009E18Rik	8
0	0	100	4430402I18Rik	9
0	0	100	4833418N02Rik	10
0	0	100	4922502D21Rik	11
0	0	100	4930417O13Rik	12
0	0	100	4930426D05Rik	13
0	0	100	4930459C07Rik	14
0	0	100	4930463O16Rik	15
0	0	100	4930511E03Rik	16
0	0	100	4930519G04Rik	17
0	0	100	4930544D05Rik	18
0	0	100	4930579P08Rik	19
0	0	100	5033428I22Rik	20
0	0	100	6430710C18Rik	21
0	0	100	9130230L23Rik	22
0	0	100	9230112J17Rik	23
0	0	100	9530020I12Rik	24
0	0	100	9830107B12Rik	25
0	0	100	A230001M10Rik	26
0	0	100	A230065H16Rik	27
0	0	100	A330033J07Rik	28
0	0	100	A430093F15Rik	29
0	0	100	AI427809	30
0	0	100	AI463170	31
0	0	100	AU015791	32
0	0	100	Aacs	33
0	0	100	Abcb10	34
0	0	100	Abcc1	35
0	0	100	Abcc6	36
0	0	100	Abcg1	37
0	0	100	Abcg4	38
0	0	100	Abhd17a	39
0	0	100	Abr	40
0	0	100	Acot5	41
0	0	100	Adam5	42
0	0	100	Adtrp	43
0	0	100	Aff2	44
0	0	100	Agbl1	45
0	0	100	Agps	46
0	0	100	Aicda	47
0	0	100	Akap6	48
0	0	100	Aldh3b2	49
0	0	100	Aldh9a1	50
0	0	100	Amer2	51
0	0	100	Ankrd13d	52
0	0	100	Ankrd22	53
0	0	100	Ano2	54
0	0	100	Anxa8	55
0	0	100	Ap1ar	56
0	0	100	Apmap	57
0	0	100	Arhgap6	58
0	0	100	Arhgap8	59
0	0	100	Arl4c	60
0	0	100	Asb7	61
0	0	100	Atp11a	62
0	0	100	Atp1b4	63
0	0	100	Atp6v1g2	64
0	0	100	Atp9a	65
0	0	100	B020031M17Rik	66
0	0	100	B3gnt9	67
0	0	100	B630019K06Rik	68
0	0	100	BC002163	69
